CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
380.3,-41.06,66.00,24.00,24.18,999.97,23.99,44.90,0.00,0.00,
380.3,13.72,66.00,24.00,24.18,1000.08,23.99,44.80,0.00,0.00,
380.3,6.25,66.00,24.00,24.18,999.94,23.99,44.30,0.00,0.00,
360.0,-2.88,66.00,24.00,24.18,999.99,23.99,44.50,0.00,0.00,
380.3,3.76,66.00,24.00,24.18,1000.02,23.99,44.30,0.00,0.00,
360.0,1.27,66.00,24.00,24.18,999.93,23.99,44.10,0.00,0.00,
360.0,10.40,66.00,24.00,24.18,999.90,23.99,45.50,0.00,0.00,
360.0,4.59,66.00,24.00,24.18,999.99,23.99,44.50,0.00,0.00,
360.0,2.10,66.00,24.00,24.18,999.90,23.99,45.10,0.00,0.00,
360.0,1.27,66.00,24.00,24.18,1000.08,23.99,44.70,0.00,0.00,
360.0,6.25,66.00,24.00,24.18,1000.07,23.99,44.80,0.00,0.00,
360.0,-7.86,66.00,24.00,24.18,999.97,23.99,44.10,0.00,0.00,
360.0,3.76,66.00,24.00,24.18,1000.09,23.99,44.30,0.00,0.00,
360.0,5.42,66.00,24.00,24.18,999.91,23.99,44.00,0.00,0.00,
360.0,0.44,66.00,24.00,24.18,1000.03,23.99,45.30,0.00,0.00,
360.0,-1.22,66.00,24.00,24.18,999.95,23.99,45.10,0.00,0.00,
360.0,-0.39,66.00,24.00,24.18,1000.04,23.99,44.90,0.00,0.00,
360.0,8.74,66.00,24.00,24.18,1000.03,23.99,44.80,0.00,0.00,
360.0,-1.22,66.00,24.00,24.18,999.98,23.99,45.20,0.00,0.00,
360.0,11.23,66.00,24.00,24.18,1000.06,23.99,44.70,0.00,0.00,
360.0,-7.86,66.00,24.00,24.18,999.92,23.99,44.50,0.00,0.00,
360.0,-4.54,66.00,24.00,24.18,999.94,23.99,44.50,0.00,0.00,
360.0,-0.39,66.00,24.00,24.18,1000.07,23.99,44.40,0.00,0.00,
360.0,4.59,66.00,24.00,24.18,1000.03,23.99,44.50,0.00,0.00,
360.0,-8.69,66.00,24.00,24.18,1000.05,23.99,44.90,0.00,0.00,
360.0,-8.69,66.00,24.00,24.18,1000.04,23.99,44.80,0.00,0.00,
360.0,2.10,66.00,24.00,24.18,999.95,23.99,44.30,0.00,0.00,
360.0,5.42,66.00,24.00,24.18,1000.04,23.99,44.50,0.00,0.00,
360.0,10.40,66.00,24.00,24.18,1000.07,23.99,44.90,0.00,0.00,
360.0,-12.01,66.00,24.00,24.18,999.94,23.99,45.00,0.00,0.00,
360.0,-1.22,66.00,24.00,24.18,999.98,23.99,44.10,0.00,0.00,
360.0,-2.05,66.00,24.00,24.18,999.92,23.99,45.40,0.00,0.00,
360.0,-7.03,66.00,24.00,24.18,1000.06,23.99,44.60,0.00,0.00,
360.0,-6.20,66.00,24.00,24.18,999.94,23.99,44.10,0.00,0.00,
360.0,4.59,66.00,24.00,24.18,1000.01,23.99,44.10,0.00,0.00,
341.2,6.25,66.00,24.00,24.18,1000.08,23.99,45.30,0.00,0.00,
341.2,4.59,66.00,24.00,24.18,1000.04,23.99,44.90,0.00,0.00,
341.2,2.93,66.00,24.00,24.18,1000.01,23.99,45.50,0.00,0.00,
341.2,-2.05,66.00,24.00,24.18,1000.05,23.99,45.40,0.00,0.00,
360.0,3.76,66.00,24.00,24.18,1000.09,23.99,45.20,0.00,0.00,
360.0,-3.71,66.00,24.00,24.18,999.90,23.99,45.00,0.00,0.00,
360.0,5.42,66.00,24.00,24.18,999.98,23.99,44.00,0.00,0.00,
360.0,-3.71,66.00,24.00,24.18,1000.03,23.99,45.40,0.00,0.00,
341.2,-3.71,66.00,24.00,24.18,999.92,23.99,44.50,0.00,0.00,
360.0,-12.01,66.00,24.00,24.18,999.92,23.99,45.50,0.00,0.00,
341.2,98.39,66.00,24.00,24.18,999.91,23.99,44.80,0.00,0.00,
341.2,16.21,66.00,24.00,24.18,1000.01,23.99,45.40,0.00,0.00,
341.2,-4.54,66.00,24.00,24.18,1000.01,23.99,44.10,0.00,0.00,
341.2,0.44,66.00,24.00,24.18,1000.06,23.99,44.80,0.00,0.00,
341.2,4.59,66.00,24.00,24.18,1000.09,23.99,45.40,0.00,0.00,
341.2,6.25,66.00,24.00,24.18,1000.02,23.99,44.70,0.00,0.00,
341.2,5.42,66.00,24.00,24.18,1000.09,23.99,44.70,0.00,0.00,
341.2,7.08,66.00,24.00,24.18,999.99,23.99,44.90,0.00,0.00,
341.2,-0.39,66.00,24.00,24.18,999.96,23.99,44.20,0.00,0.00,
341.2,0.44,66.00,24.00,24.18,1000.03,23.99,44.60,0.00,0.00,
341.2,0.44,66.00,24.00,24.18,1000.04,23.99,44.40,0.00,0.00,
341.2,2.10,66.00,24.00,24.18,999.96,23.99,45.00,0.00,0.00,
341.2,4.59,66.00,24.00,24.18,1000.04,23.99,44.20,0.00,0.00,
341.2,-0.39,66.00,24.00,24.18,999.94,23.99,44.60,0.00,0.00,
341.2,2.10,66.00,24.00,24.18,1000.09,23.99,44.30,0.00,0.00,
341.2,14.55,66.40,24.00,24.19,999.95,23.99,44.80,0.00,0.00,
323.7,16.21,66.40,24.00,24.19,1000.09,23.99,44.10,0.00,0.00,
341.2,9.57,66.40,24.00,24.19,1000.06,23.99,45.50,0.00,0.00,
341.2,5.42,66.40,24.00,24.19,999.90,23.99,44.00,0.00,0.00,
323.7,-3.71,66.40,24.00,24.19,1000.05,23.99,44.90,0.00,0.00,
323.7,-3.71,66.40,24.00,24.19,1000.04,23.99,45.10,0.00,0.00,
323.7,2.10,66.40,24.00,24.19,1000.09,23.99,45.20,0.00,0.00,
323.7,5.42,66.40,24.00,24.19,1000.05,23.99,45.20,0.00,0.00,
323.7,6.25,66.40,24.00,24.19,1000.02,23.99,45.50,0.00,0.00,
341.2,14.55,66.40,24.00,24.19,1000.03,23.99,44.50,0.00,0.00,
323.7,-0.39,66.40,24.00,24.19,1000.03,23.99,44.10,0.00,0.00,
323.7,-2.05,66.40,24.00,24.19,1000.00,23.99,44.30,0.00,0.00,
323.7,-7.86,66.40,24.00,24.19,999.98,23.99,44.90,0.00,0.00,
323.7,7.91,66.40,24.00,24.19,999.95,23.99,45.20,0.00,0.00,
323.7,12.89,66.40,24.00,24.19,1000.05,23.99,45.50,0.00,0.00,
323.7,-0.39,66.40,24.00,24.19,1000.09,23.99,44.30,0.00,0.00,
323.7,-0.39,66.40,24.00,24.19,1000.06,23.99,44.80,0.00,0.00,
323.7,-0.39,66.40,24.00,24.19,999.90,23.99,44.80,0.00,0.00,
323.7,-6.20,66.40,24.00,24.19,1000.05,23.99,45.50,0.00,0.00,
323.7,1.27,66.40,24.00,24.19,1000.05,23.99,44.10,0.00,0.00,
323.7,9.57,66.40,24.00,24.19,999.90,23.99,44.70,0.00,0.00,
323.7,-9.52,66.40,24.00,24.19,999.96,23.99,45.40,0.00,0.00,
323.7,-1.22,66.40,24.00,24.19,1000.06,23.99,44.10,0.00,0.00,
323.7,6.25,66.40,24.00,24.19,1000.01,23.99,44.60,0.00,0.00,
323.7,2.93,66.40,24.00,24.19,999.98,23.99,45.10,0.00,0.00,
323.7,0.44,66.40,24.00,24.19,999.99,23.99,44.30,0.00,0.00,
323.7,5.42,66.40,24.00,24.19,1000.01,23.99,45.10,0.00,0.00,
323.7,-7.86,66.40,24.00,24.19,1000.05,23.99,44.40,0.00,0.00,
323.7,-10.35,66.40,24.00,24.19,999.99,23.99,44.60,0.00,0.00,
323.7,7.08,66.40,24.00,24.19,999.90,23.99,44.90,0.00,0.00,
323.7,-5.37,66.00,24.00,24.18,1000.07,23.99,44.80,0.00,0.00,
323.7,-3.71,66.00,24.00,24.18,1000.06,23.99,44.50,0.00,0.00,
323.7,7.91,66.00,24.00,24.18,999.98,23.99,45.40,0.00,0.00,
323.7,-6.20,66.00,24.00,24.18,1000.00,23.99,44.40,0.00,0.00,
323.7,4.59,66.00,24.00,24.18,1000.04,23.99,44.80,0.00,0.00,
323.7,-12.01,66.00,24.00,24.18,999.91,23.99,44.90,0.00,0.00,
323.7,3.76,66.00,24.00,24.18,1000.08,23.99,44.10,0.00,0.00,
323.7,7.08,66.00,24.00,24.18,999.99,23.99,45.10,0.00,0.00,
323.7,-5.37,66.00,24.00,24.18,999.97,23.99,44.50,0.00,0.00,
323.7,9.57,66.00,24.00,24.18,999.92,23.99,44.80,0.00,0.00,
323.7,4.59,66.00,24.00,24.18,1000.03,23.99,44.60,0.00,0.00,
323.7,9.57,66.00,24.00,24.18,999.96,23.99,45.20,0.00,0.00,
323.7,1.27,66.00,24.00,24.18,1000.00,23.99,44.80,0.00,0.00,
323.7,16.21,66.00,24.00,24.18,1000.08,23.99,45.30,0.00,0.00,
323.7,-4.54,66.00,24.00,24.18,1000.07,23.99,45.00,0.00,0.00,
277.9,51.07,66.00,24.00,24.18,999.96,23.99,45.50,0.00,0.00,
323.7,1.27,66.00,24.00,24.18,1000.08,23.99,44.30,0.00,0.00,
323.7,1.27,66.00,24.00,24.18,1000.07,23.99,45.50,0.00,0.00,
323.7,-8.69,66.00,24.00,24.18,999.90,23.99,44.90,0.00,0.00,
323.7,1.27,66.00,24.00,24.18,1000.07,23.99,45.20,0.00,0.00,
323.7,2.93,66.00,24.00,24.18,999.99,23.99,45.30,0.00,0.00,
323.7,5.42,66.00,24.00,24.18,999.94,23.99,44.00,0.00,0.00,
307.3,5.42,66.00,24.00,24.18,1000.04,23.99,44.30,0.00,0.00,
323.7,-9.52,66.00,24.00,24.18,999.97,23.99,44.20,0.00,0.00,
323.7,9.57,66.00,24.00,24.18,1000.05,23.99,44.30,0.00,0.00,
307.3,7.08,66.00,24.00,24.18,1000.08,23.99,45.40,0.00,0.00,
307.3,-3.71,66.00,24.00,24.18,1000.05,23.99,44.90,0.00,0.00,
323.7,-0.39,66.00,24.00,24.18,1000.04,23.99,44.00,0.00,0.00,
323.7,-7.86,66.00,24.00,24.18,1000.04,23.99,45.30,0.00,0.00,
323.7,6.25,66.00,24.00,24.18,999.95,23.99,44.70,0.00,0.00,
323.7,-5.37,65.90,24.10,24.29,999.93,24.09,44.50,0.00,0.00,
307.3,1.27,65.90,24.10,24.29,999.93,24.09,44.70,0.00,0.00,
323.7,-1.22,65.90,24.10,24.29,999.97,24.09,44.30,0.00,0.00,
307.3,3.76,65.90,24.10,24.29,999.93,24.09,45.50,0.00,0.00,
307.3,3.76,65.90,24.10,24.29,999.98,24.09,45.00,0.00,0.00,
307.3,-1.22,65.90,24.10,24.29,1000.09,24.09,45.00,0.00,0.00,
307.3,-6.20,65.90,24.10,24.29,999.94,24.09,45.30,0.00,0.00,
307.3,8.74,65.90,24.10,24.29,999.93,24.09,44.00,0.00,0.00,
307.3,-2.05,65.90,24.10,24.29,1000.00,24.09,44.00,0.00,0.00,
307.3,7.91,65.90,24.10,24.29,999.93,24.09,44.80,0.00,0.00,
307.3,-6.20,65.90,24.10,24.29,1000.03,24.09,45.10,0.00,0.00,
307.3,4.59,65.90,24.10,24.29,1000.06,24.09,45.40,0.00,0.00,
307.3,2.10,65.90,24.10,24.29,999.90,24.09,44.80,0.00,0.00,
307.3,-1.22,65.90,24.10,24.29,1000.04,24.09,45.40,0.00,0.00,
307.3,-19.48,65.90,24.10,24.29,999.99,24.09,44.60,0.00,0.00,
307.3,1.27,65.90,24.10,24.29,1000.09,24.09,44.20,0.00,0.00,
