CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
183.9,-88.38,69.10,23.40,23.60,999.97,23.39,44.90,0.00,0.00,
176.3,15.38,69.10,23.40,23.60,1000.08,23.39,44.80,0.00,0.00,
176.3,16.21,69.10,23.40,23.60,999.94,23.39,44.30,0.00,0.00,
176.3,12.89,69.10,23.40,23.60,999.99,23.39,44.50,0.00,0.00,
176.3,9.57,69.10,23.40,23.60,1000.02,23.39,44.30,0.00,0.00,
169.1,5.42,69.10,23.40,23.60,999.93,23.39,44.10,0.00,0.00,
176.3,10.40,69.10,23.40,23.60,999.90,23.39,45.50,0.00,0.00,
169.1,8.74,69.10,23.40,23.60,999.99,23.39,44.50,0.00,0.00,
176.3,13.72,69.10,23.40,23.60,999.90,23.39,45.10,0.00,0.00,
176.3,6.25,69.10,23.40,23.60,1000.08,23.39,44.70,0.00,0.00,
176.3,74.32,69.10,23.40,23.60,1000.07,23.39,44.80,0.00,0.00,
176.3,-1.22,69.10,23.40,23.60,999.97,23.39,44.10,0.00,0.00,
176.3,4.59,69.10,23.40,23.60,1000.09,23.39,44.30,0.00,0.00,
176.3,0.44,69.10,23.40,23.60,999.91,23.39,44.00,0.00,0.00,
176.3,-9.52,69.10,23.40,23.60,1000.03,23.39,45.30,0.00,0.00,
169.1,2.93,69.10,23.40,23.60,999.95,23.39,45.10,0.00,0.00,
169.1,-2.88,69.10,23.40,23.60,1000.04,23.39,44.90,0.00,0.00,
169.1,7.91,69.10,23.40,23.60,1000.03,23.39,44.80,0.00,0.00,
169.1,15.38,69.10,23.40,23.60,999.98,23.39,45.20,0.00,0.00,
169.1,7.91,69.10,23.40,23.60,1000.06,23.39,44.70,0.00,0.00,
169.1,-3.71,69.10,23.40,23.60,999.92,23.39,44.50,0.00,0.00,
169.1,-1.22,69.10,23.40,23.60,999.94,23.39,44.50,0.00,0.00,
162.3,2.10,69.10,23.40,23.60,1000.07,23.39,44.40,0.00,0.00,
162.3,-17.82,69.10,23.40,23.60,1000.03,23.39,44.50,0.00,0.00,
162.3,-1.22,69.10,23.40,23.60,1000.05,23.39,44.90,0.00,0.00,
162.3,-7.86,69.10,23.40,23.60,1000.04,23.39,44.80,0.00,0.00,
162.3,5.42,69.10,23.40,23.60,999.95,23.39,44.30,0.00,0.00,
162.3,6.25,69.10,23.40,23.60,1000.04,23.39,44.50,0.00,0.00,
162.3,15.38,69.10,23.40,23.60,1000.07,23.39,44.90,0.00,0.00,
155.9,14.55,69.10,23.40,23.60,999.94,23.39,45.00,0.00,0.00,
162.3,5.42,69.00,23.40,23.60,999.98,23.39,44.10,0.00,0.00,
155.9,-1.22,69.00,23.40,23.60,999.92,23.39,45.40,0.00,0.00,
162.3,-0.39,69.00,23.40,23.60,1000.06,23.39,44.60,0.00,0.00,
155.9,8.74,69.00,23.40,23.60,999.94,23.39,44.10,0.00,0.00,
155.9,1.27,69.00,23.40,23.60,1000.01,23.39,44.10,0.00,0.00,
144.0,-1.22,69.00,23.40,23.60,1000.08,23.39,45.30,0.00,0.00,
155.9,-1.22,69.00,23.40,23.60,1000.04,23.39,44.90,0.00,0.00,
155.9,6.25,69.00,23.40,23.60,1000.01,23.39,45.50,0.00,0.00,
144.0,-4.54,69.00,23.40,23.60,1000.05,23.39,45.40,0.00,0.00,
144.0,3.76,69.00,23.40,23.60,1000.09,23.39,45.20,0.00,0.00,
144.0,-12.84,69.00,23.40,23.60,999.90,23.39,45.00,0.00,0.00,
155.9,2.10,69.00,23.40,23.60,999.98,23.39,44.00,0.00,0.00,
144.0,5.42,69.00,23.40,23.60,1000.03,23.39,45.40,0.00,0.00,
144.0,-2.88,69.00,23.40,23.60,999.92,23.39,44.50,0.00,0.00,
144.0,-1.22,69.00,23.40,23.60,999.92,23.39,45.50,0.00,0.00,
144.0,4.59,69.00,23.40,23.60,999.91,23.39,44.80,0.00,0.00,
144.0,-2.05,69.00,23.40,23.60,1000.01,23.39,45.40,0.00,0.00,
144.0,-5.37,69.00,23.40,23.60,1000.01,23.39,44.10,0.00,0.00,
144.0,-2.88,69.00,23.40,23.60,1000.06,23.39,44.80,0.00,0.00,
144.0,-7.03,69.00,23.40,23.60,1000.09,23.39,45.40,0.00,0.00,
144.0,9.57,69.00,23.40,23.60,1000.02,23.39,44.70,0.00,0.00,
144.0,-5.37,69.00,23.40,23.60,1000.09,23.39,44.70,0.00,0.00,
144.0,-5.37,69.00,23.40,23.60,999.99,23.39,44.90,0.00,0.00,
138.6,-5.37,69.00,23.40,23.60,999.96,23.39,44.20,0.00,0.00,
138.6,-7.03,69.00,23.40,23.60,1000.03,23.39,44.60,0.00,0.00,
138.6,-0.39,69.00,23.40,23.60,1000.04,23.39,44.40,0.00,0.00,
138.6,-12.84,69.00,23.40,23.60,999.96,23.39,45.00,0.00,0.00,
138.6,0.44,69.00,23.40,23.60,1000.04,23.39,44.20,0.00,0.00,
138.6,-10.35,69.00,23.40,23.60,999.94,23.39,44.60,0.00,0.00,
138.6,-5.37,69.00,23.40,23.60,1000.09,23.39,44.30,0.00,0.00,
138.6,-2.88,69.00,23.30,23.49,999.95,23.29,44.80,0.00,0.00,
138.6,19.53,69.00,23.30,23.49,1000.09,23.29,44.10,0.00,0.00,
138.6,-7.03,69.00,23.30,23.49,1000.06,23.29,45.50,0.00,0.00,
138.6,2.10,69.00,23.30,23.49,999.90,23.29,44.00,0.00,0.00,
138.6,4.59,69.00,23.30,23.49,1000.05,23.29,44.90,0.00,0.00,
