CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
209.6,-88.38,70.40,23.00,23.19,999.97,22.99,44.90,0.00,0.00,
200.6,5.42,70.40,23.00,23.19,1000.08,22.99,44.80,0.00,0.00,
200.6,6.25,70.40,23.00,23.19,999.94,22.99,44.30,0.00,0.00,
200.6,2.10,70.40,23.00,23.19,999.99,22.99,44.50,0.00,0.00,
200.6,2.93,70.40,23.00,23.19,1000.02,22.99,44.30,0.00,0.00,
200.6,-7.86,70.40,23.00,23.19,999.93,22.99,44.10,0.00,0.00,
200.6,12.89,70.40,23.00,23.19,999.90,22.99,45.50,0.00,0.00,
200.6,-5.37,70.40,23.00,23.19,999.99,22.99,44.50,0.00,0.00,
200.6,7.91,70.40,23.00,23.19,999.90,22.99,45.10,0.00,0.00,
200.6,7.91,70.40,23.00,23.19,1000.08,22.99,44.70,0.00,0.00,
192.0,12.89,70.40,23.00,23.19,1000.07,22.99,44.80,0.00,0.00,
200.6,0.44,70.40,23.00,23.19,999.97,22.99,44.10,0.00,0.00,
192.0,-0.39,70.40,23.00,23.19,1000.09,22.99,44.30,0.00,0.00,
200.6,-8.69,70.40,23.00,23.19,999.91,22.99,44.00,0.00,0.00,
200.6,1.27,70.40,23.00,23.19,1000.03,22.99,45.30,0.00,0.00,
200.6,4.59,70.40,23.00,23.19,999.95,22.99,45.10,0.00,0.00,
200.6,10.40,70.40,23.00,23.19,1000.04,22.99,44.90,0.00,0.00,
200.6,5.42,70.40,23.00,23.19,1000.03,22.99,44.80,0.00,0.00,
200.6,2.93,70.40,23.00,23.19,999.98,22.99,45.20,0.00,0.00,
200.6,3.76,70.40,23.00,23.19,1000.06,22.99,44.70,0.00,0.00,
192.0,-0.39,70.40,23.00,23.19,999.92,22.99,44.50,0.00,0.00,
192.0,0.44,70.40,23.00,23.19,999.94,22.99,44.50,0.00,0.00,
200.6,11.23,70.40,23.00,23.19,1000.07,22.99,44.40,0.00,0.00,
200.6,-4.54,70.40,23.00,23.19,1000.03,22.99,44.50,0.00,0.00,
200.6,2.10,70.40,23.00,23.19,1000.05,22.99,44.90,0.00,0.00,
200.6,2.10,70.40,23.00,23.19,1000.04,22.99,44.80,0.00,0.00,
200.6,0.44,70.40,23.00,23.19,999.95,22.99,44.30,0.00,0.00,
200.6,-7.03,70.40,23.00,23.19,1000.04,22.99,44.50,0.00,0.00,
200.6,11.23,70.40,23.00,23.19,1000.07,22.99,44.90,0.00,0.00,
200.6,3.76,70.40,23.00,23.19,999.94,22.99,45.00,0.00,0.00,
200.6,7.91,70.60,23.00,23.20,999.98,22.99,44.10,0.00,0.00,
192.0,0.44,70.60,23.00,23.20,999.92,22.99,45.40,0.00,0.00,
200.6,-0.39,70.60,23.00,23.20,1000.06,22.99,44.60,0.00,0.00,
192.0,5.42,70.60,23.00,23.20,999.94,22.99,44.10,0.00,0.00,
200.6,11.23,70.60,23.00,23.20,1000.01,22.99,44.10,0.00,0.00,
200.6,-9.52,70.60,23.00,23.20,1000.08,22.99,45.30,0.00,0.00,
200.6,-0.39,70.60,23.00,23.20,1000.04,22.99,44.90,0.00,0.00,
200.6,3.76,70.60,23.00,23.20,1000.01,22.99,45.50,0.00,0.00,
200.6,3.76,70.60,23.00,23.20,1000.05,22.99,45.40,0.00,0.00,
192.0,2.93,70.60,23.00,23.20,1000.09,22.99,45.20,0.00,0.00,
192.0,0.44,70.60,23.00,23.20,999.90,22.99,45.00,0.00,0.00,
192.0,-7.03,70.60,23.00,23.20,999.98,22.99,44.00,0.00,0.00,
200.6,6.25,70.60,23.00,23.20,1000.03,22.99,45.40,0.00,0.00,
200.6,4.59,70.60,23.00,23.20,999.92,22.99,44.50,0.00,0.00,
200.6,14.55,70.60,23.00,23.20,999.92,22.99,45.50,0.00,0.00,
200.6,-1.22,70.60,23.00,23.20,999.91,22.99,44.80,0.00,0.00,
200.6,1.27,70.60,23.00,23.20,1000.01,22.99,45.40,0.00,0.00,
200.6,7.91,70.60,23.00,23.20,1000.01,22.99,44.10,0.00,0.00,
200.6,-4.54,70.60,23.00,23.20,1000.06,22.99,44.80,0.00,0.00,
200.6,-7.86,70.60,23.00,23.20,1000.09,22.99,45.40,0.00,0.00,
200.6,7.08,70.60,23.00,23.20,1000.02,22.99,44.70,0.00,0.00,
200.6,-5.37,70.60,23.00,23.20,1000.09,22.99,44.70,0.00,0.00,
200.6,2.93,70.60,23.00,23.20,999.99,22.99,44.90,0.00,0.00,
200.6,-0.39,70.60,23.00,23.20,999.96,22.99,44.20,0.00,0.00,
200.6,6.25,70.60,23.00,23.20,1000.03,22.99,44.60,0.00,0.00,
200.6,4.59,70.60,23.00,23.20,1000.04,22.99,44.40,0.00,0.00,
200.6,8.74,70.60,23.00,23.20,999.96,22.99,45.00,0.00,0.00,
192.0,-4.54,70.60,23.00,23.20,1000.04,22.99,44.20,0.00,0.00,
200.6,-2.88,70.60,23.00,23.20,999.94,22.99,44.60,0.00,0.00,
200.6,14.55,70.60,23.00,23.20,1000.09,22.99,44.30,0.00,0.00,
200.6,4.59,70.50,22.90,23.09,999.95,22.89,44.80,0.00,0.00,
200.6,4.59,70.50,22.90,23.09,1000.09,22.89,44.10,0.00,0.00,
200.6,1.27,70.50,22.90,23.09,1000.06,22.89,45.50,0.00,0.00,
200.6,-0.39,70.50,22.90,23.09,999.90,22.89,44.00,0.00,0.00,
200.6,12.89,70.50,22.90,23.09,1000.05,22.89,44.90,0.00,0.00,
200.6,4.59,70.50,22.90,23.09,1000.04,22.89,45.10,0.00,0.00,
200.6,4.59,70.50,22.90,23.09,1000.09,22.89,45.20,0.00,0.00,
200.6,3.76,70.50,22.90,23.09,1000.05,22.89,45.20,0.00,0.00,
200.6,4.59,70.50,22.90,23.09,1000.02,22.89,45.50,0.00,0.00,
200.6,2.10,70.50,22.90,23.09,1000.03,22.89,44.50,0.00,0.00,
192.0,0.44,70.50,22.90,23.09,1000.03,22.89,44.10,0.00,0.00,
200.6,2.93,70.50,22.90,23.09,1000.00,22.89,44.30,0.00,0.00,
200.6,7.08,70.50,22.90,23.09,999.98,22.89,44.90,0.00,0.00,
200.6,-2.05,70.50,22.90,23.09,999.95,22.89,45.20,0.00,0.00,
200.6,-3.71,70.50,22.90,23.09,1000.05,22.89,45.50,0.00,0.00,
200.6,6.25,70.50,22.90,23.09,1000.09,22.89,44.30,0.00,0.00,
200.6,1.27,70.50,22.90,23.09,1000.06,22.89,44.80,0.00,0.00,
200.6,-7.03,70.50,22.90,23.09,999.90,22.89,44.80,0.00,0.00,
200.6,7.08,70.50,22.90,23.09,1000.05,22.89,45.50,0.00,0.00,
200.6,6.25,70.50,22.90,23.09,1000.05,22.89,44.10,0.00,0.00,
200.6,-2.88,70.50,22.90,23.09,999.90,22.89,44.70,0.00,0.00,
200.6,5.42,70.50,22.90,23.09,999.96,22.89,45.40,0.00,0.00,
200.6,3.76,70.50,22.90,23.09,1000.06,22.89,44.10,0.00,0.00,
200.6,7.91,70.50,22.90,23.09,1000.01,22.89,44.60,0.00,0.00,
