CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
200.6,-88.38,63.40,24.90,25.10,999.97,24.89,44.90,0.00,0.00,
183.9,-5.37,63.40,24.90,25.10,1000.08,24.89,44.80,0.00,0.00,
183.9,6.25,63.40,24.90,25.10,999.94,24.89,44.30,0.00,0.00,
183.9,-2.05,63.40,24.90,25.10,999.99,24.89,44.50,0.00,0.00,
183.9,-2.88,63.40,24.90,25.10,1000.02,24.89,44.30,0.00,0.00,
183.9,3.76,63.40,24.90,25.10,999.93,24.89,44.10,0.00,0.00,
183.9,6.25,63.40,24.90,25.10,999.90,24.89,45.50,0.00,0.00,
183.9,3.76,63.40,24.90,25.10,999.99,24.89,44.50,0.00,0.00,
183.9,1.27,63.40,24.90,25.10,999.90,24.89,45.10,0.00,0.00,
183.9,-0.39,63.40,24.90,25.10,1000.08,24.89,44.70,0.00,0.00,
183.9,16.21,63.40,24.90,25.10,1000.07,24.89,44.80,0.00,0.00,
183.9,-0.39,63.40,24.90,25.10,999.97,24.89,44.10,0.00,0.00,
183.9,-8.69,63.40,24.90,25.10,1000.09,24.89,44.30,0.00,0.00,
183.9,3.76,63.40,24.90,25.10,999.91,24.89,44.00,0.00,0.00,
183.9,11.23,63.40,24.90,25.10,1000.03,24.89,45.30,0.00,0.00,
183.9,-7.03,63.40,24.90,25.10,999.95,24.89,45.10,0.00,0.00,
183.9,1.27,63.40,24.90,25.10,1000.04,24.89,44.90,0.00,0.00,
183.9,-3.71,63.40,24.90,25.10,1000.03,24.89,44.80,0.00,0.00,
183.9,-3.71,63.40,24.90,25.10,999.98,24.89,45.20,0.00,0.00,
183.9,0.44,63.40,24.90,25.10,1000.06,24.89,44.70,0.00,0.00,
183.9,-4.54,63.40,24.90,25.10,999.92,24.89,44.50,0.00,0.00,
183.9,-1.22,63.40,24.90,25.10,999.94,24.89,44.50,0.00,0.00,
183.9,4.59,63.40,24.90,25.10,1000.07,24.89,44.40,0.00,0.00,
192.0,-3.71,63.40,24.90,25.10,1000.03,24.89,44.50,0.00,0.00,
183.9,0.44,63.40,24.90,25.10,1000.05,24.89,44.90,0.00,0.00,
192.0,-1.22,63.40,24.90,25.10,1000.04,24.89,44.80,0.00,0.00,
183.9,-14.50,63.40,24.90,25.10,999.95,24.89,44.30,0.00,0.00,
183.9,2.93,63.40,24.90,25.10,1000.04,24.89,44.50,0.00,0.00,
183.9,5.42,63.40,24.90,25.10,1000.07,24.89,44.90,0.00,0.00,
183.9,-2.88,63.40,24.90,25.10,999.94,24.89,45.00,0.00,0.00,
183.9,4.59,63.50,24.90,25.10,999.98,24.89,44.10,0.00,0.00,
183.9,14.55,63.50,24.90,25.10,999.92,24.89,45.40,0.00,0.00,
183.9,3.76,63.50,24.90,25.10,1000.06,24.89,44.60,0.00,0.00,
183.9,8.74,63.50,24.90,25.10,999.94,24.89,44.10,0.00,0.00,
183.9,-0.39,63.50,24.90,25.10,1000.01,24.89,44.10,0.00,0.00,
183.9,6.25,63.50,24.90,25.10,1000.08,24.89,45.30,0.00,0.00,
192.0,-9.52,63.50,24.90,25.10,1000.04,24.89,44.90,0.00,0.00,
183.9,0.44,63.50,24.90,25.10,1000.01,24.89,45.50,0.00,0.00,
183.9,-2.05,63.50,24.90,25.10,1000.05,24.89,45.40,0.00,0.00,
183.9,6.25,63.50,24.90,25.10,1000.09,24.89,45.20,0.00,0.00,
183.9,2.93,63.50,24.90,25.10,999.90,24.89,45.00,0.00,0.00,
183.9,10.40,63.50,24.90,25.10,999.98,24.89,44.00,0.00,0.00,
183.9,2.10,63.50,24.90,25.10,1000.03,24.89,45.40,0.00,0.00,
183.9,1.27,63.50,24.90,25.10,999.92,24.89,44.50,0.00,0.00,
183.9,-7.03,63.50,24.90,25.10,999.92,24.89,45.50,0.00,0.00,
169.1,104.20,63.50,24.90,25.10,999.91,24.89,44.80,0.00,0.00,
