CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
169.1,-87.55,68.10,23.60,23.79,999.97,23.59,44.90,0.00,0.00,
162.3,9.57,68.10,23.60,23.79,1000.08,23.59,44.80,0.00,0.00,
162.3,-5.37,68.10,23.60,23.79,999.94,23.59,44.30,0.00,0.00,
162.3,8.74,68.10,23.60,23.79,999.99,23.59,44.50,0.00,0.00,
162.3,5.42,68.10,23.60,23.79,1000.02,23.59,44.30,0.00,0.00,
162.3,-2.88,68.10,23.60,23.79,999.93,23.59,44.10,0.00,0.00,
162.3,-0.39,68.10,23.60,23.79,999.90,23.59,45.50,0.00,0.00,
162.3,7.08,68.10,23.60,23.79,999.99,23.59,44.50,0.00,0.00,
162.3,-0.39,68.10,23.60,23.79,999.90,23.59,45.10,0.00,0.00,
162.3,-3.71,68.10,23.60,23.79,1000.08,23.59,44.70,0.00,0.00,
162.3,-0.39,68.10,23.60,23.79,1000.07,23.59,44.80,0.00,0.00,
162.3,-6.20,68.10,23.60,23.79,999.97,23.59,44.10,0.00,0.00,
162.3,-2.88,68.10,23.60,23.79,1000.09,23.59,44.30,0.00,0.00,
162.3,-0.39,68.10,23.60,23.79,999.91,23.59,44.00,0.00,0.00,
162.3,2.93,68.10,23.60,23.79,1000.03,23.59,45.30,0.00,0.00,
162.3,-3.71,68.10,23.60,23.79,999.95,23.59,45.10,0.00,0.00,
162.3,1.27,68.10,23.60,23.79,1000.04,23.59,44.90,0.00,0.00,
162.3,4.59,68.10,23.60,23.79,1000.03,23.59,44.80,0.00,0.00,
162.3,8.74,68.10,23.60,23.79,999.98,23.59,45.20,0.00,0.00,
162.3,-2.05,68.10,23.60,23.79,1000.06,23.59,44.70,0.00,0.00,
162.3,2.93,68.10,23.60,23.79,999.92,23.59,44.50,0.00,0.00,
162.3,3.76,68.10,23.60,23.79,999.94,23.59,44.50,0.00,0.00,
162.3,2.10,68.10,23.60,23.79,1000.07,23.59,44.40,0.00,0.00,
162.3,-2.05,68.10,23.60,23.79,1000.03,23.59,44.50,0.00,0.00,
162.3,-0.39,68.10,23.60,23.79,1000.05,23.59,44.90,0.00,0.00,
162.3,1.27,68.10,23.60,23.79,1000.04,23.59,44.80,0.00,0.00,
162.3,3.76,68.10,23.60,23.79,999.95,23.59,44.30,0.00,0.00,
162.3,7.91,68.10,23.60,23.79,1000.04,23.59,44.50,0.00,0.00,
162.3,-2.05,68.10,23.60,23.79,1000.07,23.59,44.90,0.00,0.00,
162.3,4.59,68.10,23.60,23.79,999.94,23.59,45.00,0.00,0.00,
162.3,1.27,66.90,23.60,23.76,999.98,23.59,44.10,0.00,0.00,
162.3,2.10,66.90,23.60,23.76,999.92,23.59,45.40,0.00,0.00,
162.3,-6.20,66.90,23.60,23.76,1000.06,23.59,44.60,0.00,0.00,
162.3,3.76,66.90,23.60,23.76,999.94,23.59,44.10,0.00,0.00,
162.3,-7.86,66.90,23.60,23.76,1000.01,23.59,44.10,0.00,0.00,
162.3,-0.39,66.90,23.60,23.76,1000.08,23.59,45.30,0.00,0.00,
162.3,-7.03,66.90,23.60,23.76,1000.04,23.59,44.90,0.00,0.00,
162.3,-3.71,66.90,23.60,23.76,1000.01,23.59,45.50,0.00,0.00,
162.3,-10.35,66.90,23.60,23.76,1000.05,23.59,45.40,0.00,0.00,
162.3,0.44,66.90,23.60,23.76,1000.09,23.59,45.20,0.00,0.00,
162.3,-1.22,66.90,23.60,23.76,999.90,23.59,45.00,0.00,0.00,
162.3,2.93,66.90,23.60,23.76,999.98,23.59,44.00,0.00,0.00,
162.3,7.91,66.90,23.60,23.76,1000.03,23.59,45.40,0.00,0.00,
162.3,3.76,66.90,23.60,23.76,999.92,23.59,44.50,0.00,0.00,
162.3,-7.03,66.90,23.60,23.76,999.92,23.59,45.50,0.00,0.00,
155.9,7.91,66.90,23.60,23.76,999.91,23.59,44.80,0.00,0.00,
162.3,-1.22,66.90,23.60,23.76,1000.01,23.59,45.40,0.00,0.00,
162.3,10.40,66.90,23.60,23.76,1000.01,23.59,44.10,0.00,0.00,
162.3,3.76,66.90,23.60,23.76,1000.06,23.59,44.80,0.00,0.00,
162.3,-3.71,66.90,23.60,23.76,1000.09,23.59,45.40,0.00,0.00,
162.3,2.10,66.90,23.60,23.76,1000.02,23.59,44.70,0.00,0.00,
162.3,15.38,66.90,23.60,23.76,1000.09,23.59,44.70,0.00,0.00,
162.3,-2.05,66.90,23.60,23.76,999.99,23.59,44.90,0.00,0.00,
155.9,-2.05,66.90,23.60,23.76,999.96,23.59,44.20,0.00,0.00,
162.3,2.10,66.90,23.60,23.76,1000.03,23.59,44.60,0.00,0.00,
155.9,-5.37,66.90,23.60,23.76,1000.04,23.59,44.40,0.00,0.00,
162.3,-5.37,66.90,23.60,23.76,999.96,23.59,45.00,0.00,0.00,
162.3,-2.88,66.90,23.60,23.76,1000.04,23.59,44.20,0.00,0.00,
162.3,1.27,66.90,23.60,23.76,999.94,23.59,44.60,0.00,0.00,
162.3,0.44,66.90,23.60,23.76,1000.09,23.59,44.30,0.00,0.00,
162.3,2.93,67.90,23.60,23.79,999.95,23.59,44.80,0.00,0.00,
162.3,7.91,67.90,23.60,23.79,1000.09,23.59,44.10,0.00,0.00,
162.3,-2.88,67.90,23.60,23.79,1000.06,23.59,45.50,0.00,0.00,
162.3,-5.37,67.90,23.60,23.79,999.90,23.59,44.00,0.00,0.00,
162.3,-4.54,67.90,23.60,23.79,1000.05,23.59,44.90,0.00,0.00,
162.3,2.93,67.90,23.60,23.79,1000.04,23.59,45.10,0.00,0.00,
162.3,14.55,67.90,23.60,23.79,1000.09,23.59,45.20,0.00,0.00,
155.9,-9.52,67.90,23.60,23.79,1000.05,23.59,45.20,0.00,0.00,
155.9,13.72,67.90,23.60,23.79,1000.02,23.59,45.50,0.00,0.00,
162.3,1.27,67.90,23.60,23.79,1000.03,23.59,44.50,0.00,0.00,
162.3,-3.71,67.90,23.60,23.79,1000.03,23.59,44.10,0.00,0.00,
162.3,2.93,67.90,23.60,23.79,1000.00,23.59,44.30,0.00,0.00,
162.3,9.57,67.90,23.60,23.79,999.98,23.59,44.90,0.00,0.00,
162.3,-2.05,67.90,23.60,23.79,999.95,23.59,45.20,0.00,0.00,
162.3,1.27,67.90,23.60,23.79,1000.05,23.59,45.50,0.00,0.00,
155.9,6.25,67.90,23.60,23.79,1000.09,23.59,44.30,0.00,0.00,
162.3,5.42,67.90,23.60,23.79,1000.06,23.59,44.80,0.00,0.00,
162.3,2.10,67.90,23.60,23.79,999.90,23.59,44.80,0.00,0.00,
162.3,-12.01,67.90,23.60,23.79,1000.05,23.59,45.50,0.00,0.00,
162.3,-4.54,67.90,23.60,23.79,1000.05,23.59,44.10,0.00,0.00,
162.3,-10.35,67.90,23.60,23.79,999.90,23.59,44.70,0.00,0.00,
162.3,3.76,67.90,23.60,23.79,999.96,23.59,45.40,0.00,0.00,
162.3,1.27,67.90,23.60,23.79,1000.06,23.59,44.10,0.00,0.00,
162.3,7.08,67.90,23.60,23.79,1000.01,23.59,44.60,0.00,0.00,
162.3,-8.69,67.90,23.60,23.79,999.98,23.59,45.10,0.00,0.00,
162.3,-17.82,67.90,23.60,23.79,999.99,23.59,44.30,0.00,0.00,
162.3,2.10,67.90,23.60,23.79,1000.01,23.59,45.10,0.00,0.00,
162.3,8.74,67.90,23.60,23.79,1000.05,23.59,44.40,0.00,0.00,
162.3,0.44,67.90,23.60,23.79,999.99,23.59,44.60,0.00,0.00,
162.3,2.93,67.90,23.60,23.79,999.90,23.59,44.90,0.00,0.00,
162.3,-3.71,68.20,23.60,23.80,1000.07,23.59,44.80,0.00,0.00,
162.3,6.25,68.20,23.60,23.80,1000.06,23.59,44.50,0.00,0.00,
162.3,8.74,68.20,23.60,23.80,999.98,23.59,45.40,0.00,0.00,
162.3,-5.37,68.20,23.60,23.80,1000.00,23.59,44.40,0.00,0.00,
162.3,-4.54,68.20,23.60,23.80,1000.04,23.59,44.80,0.00,0.00,
155.9,2.93,68.20,23.60,23.80,999.91,23.59,44.90,0.00,0.00,
162.3,-7.03,68.20,23.60,23.80,1000.08,23.59,44.10,0.00,0.00,
162.3,8.74,68.20,23.60,23.80,999.99,23.59,45.10,0.00,0.00,
162.3,2.10,68.20,23.60,23.80,999.97,23.59,44.50,0.00,0.00,
162.3,-3.71,68.20,23.60,23.80,999.92,23.59,44.80,0.00,0.00,
162.3,1.27,68.20,23.60,23.80,1000.03,23.59,44.60,0.00,0.00,
162.3,7.08,68.20,23.60,23.80,999.96,23.59,45.20,0.00,0.00,
162.3,5.42,68.20,23.60,23.80,1000.00,23.59,44.80,0.00,0.00,
162.3,4.59,68.20,23.60,23.80,1000.08,23.59,45.30,0.00,0.00,
162.3,-19.48,68.20,23.60,23.80,1000.07,23.59,45.00,0.00,0.00,
169.1,-25.29,68.20,23.60,23.80,999.96,23.59,45.50,0.00,0.00,
162.3,6.25,68.20,23.60,23.80,1000.08,23.59,44.30,0.00,0.00,
162.3,0.44,68.20,23.60,23.80,1000.07,23.59,45.50,0.00,0.00,
162.3,0.44,68.20,23.60,23.80,999.90,23.59,44.90,0.00,0.00,
162.3,-3.71,68.20,23.60,23.80,1000.07,23.59,45.20,0.00,0.00,
162.3,5.42,68.20,23.60,23.80,999.99,23.59,45.30,0.00,0.00,
162.3,5.42,68.20,23.60,23.80,999.94,23.59,44.00,0.00,0.00,
155.9,0.44,68.20,23.60,23.80,1000.04,23.59,44.30,0.00,0.00,
162.3,5.42,68.20,23.60,23.80,999.97,23.59,44.20,0.00,0.00,
162.3,7.91,68.20,23.60,23.80,1000.05,23.59,44.30,0.00,0.00,
162.3,-6.20,68.20,23.60,23.80,1000.08,23.59,45.40,0.00,0.00,
162.3,-6.20,68.20,23.60,23.80,1000.05,23.59,44.90,0.00,0.00,
162.3,2.93,68.20,23.60,23.80,1000.04,23.59,44.00,0.00,0.00,
162.3,-8.69,68.20,23.60,23.80,1000.04,23.59,45.30,0.00,0.00,
162.3,-5.37,68.20,23.60,23.80,999.95,23.59,44.70,0.00,0.00,
162.3,2.10,67.20,23.60,23.77,999.93,23.59,44.50,0.00,0.00,
162.3,7.08,67.20,23.60,23.77,999.93,23.59,44.70,0.00,0.00,
162.3,-0.39,67.20,23.60,23.77,999.97,23.59,44.30,0.00,0.00,
162.3,-1.22,67.20,23.60,23.77,999.93,23.59,45.50,0.00,0.00,
162.3,1.27,67.20,23.60,23.77,999.98,23.59,45.00,0.00,0.00,
162.3,-7.03,67.20,23.60,23.77,1000.09,23.59,45.00,0.00,0.00,
155.9,2.93,67.20,23.60,23.77,999.94,23.59,45.30,0.00,0.00,
162.3,4.59,67.20,23.60,23.77,999.93,23.59,44.00,0.00,0.00,
162.3,-4.54,67.20,23.60,23.77,1000.00,23.59,44.00,0.00,0.00,
162.3,3.76,67.20,23.60,23.77,999.93,23.59,44.80,0.00,0.00,
