CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
209.6,-88.38,70.40,23.10,23.30,999.97,23.09,44.90,0.00,0.00,
200.6,2.10,70.40,23.10,23.30,1000.08,23.09,44.80,0.00,0.00,
200.6,-2.05,70.40,23.10,23.30,999.94,23.09,44.30,0.00,0.00,
200.6,13.72,70.40,23.10,23.30,999.99,23.09,44.50,0.00,0.00,
192.0,-8.69,70.40,23.10,23.30,1000.02,23.09,44.30,0.00,0.00,
192.0,6.25,70.40,23.10,23.30,999.93,23.09,44.10,0.00,0.00,
192.0,-4.54,70.40,23.10,23.30,999.90,23.09,45.50,0.00,0.00,
192.0,-4.54,70.40,23.10,23.30,999.99,23.09,44.50,0.00,0.00,
192.0,-0.39,70.40,23.10,23.30,999.90,23.09,45.10,0.00,0.00,
200.6,6.25,70.40,23.10,23.30,1000.08,23.09,44.70,0.00,0.00,
200.6,5.42,70.40,23.10,23.30,1000.07,23.09,44.80,0.00,0.00,
200.6,10.40,70.40,23.10,23.30,999.97,23.09,44.10,0.00,0.00,
200.6,6.25,70.40,23.10,23.30,1000.09,23.09,44.30,0.00,0.00,
200.6,9.57,70.40,23.10,23.30,999.91,23.09,44.00,0.00,0.00,
192.0,3.76,70.40,23.10,23.30,1000.03,23.09,45.30,0.00,0.00,
192.0,-7.03,70.40,23.10,23.30,999.95,23.09,45.10,0.00,0.00,
192.0,-2.05,70.40,23.10,23.30,1000.04,23.09,44.90,0.00,0.00,
200.6,-1.22,70.40,23.10,23.30,1000.03,23.09,44.80,0.00,0.00,
200.6,-6.20,70.40,23.10,23.30,999.98,23.09,45.20,0.00,0.00,
200.6,-0.39,70.40,23.10,23.30,1000.06,23.09,44.70,0.00,0.00,
200.6,3.76,70.40,23.10,23.30,999.92,23.09,44.50,0.00,0.00,
200.6,8.74,70.40,23.10,23.30,999.94,23.09,44.50,0.00,0.00,
200.6,7.08,70.40,23.10,23.30,1000.07,23.09,44.40,0.00,0.00,
200.6,6.25,70.40,23.10,23.30,1000.03,23.09,44.50,0.00,0.00,
192.0,5.42,70.40,23.10,23.30,1000.05,23.09,44.90,0.00,0.00,
192.0,4.59,70.40,23.10,23.30,1000.04,23.09,44.80,0.00,0.00,
200.6,-7.86,70.40,23.10,23.30,999.95,23.09,44.30,0.00,0.00,
200.6,-4.54,70.40,23.10,23.30,1000.04,23.09,44.50,0.00,0.00,
200.6,2.93,70.40,23.10,23.30,1000.07,23.09,44.90,0.00,0.00,
200.6,3.76,70.40,23.10,23.30,999.94,23.09,45.00,0.00,0.00,
200.6,3.76,70.40,23.20,23.41,999.98,23.19,44.10,0.00,0.00,
200.6,-7.86,70.40,23.20,23.41,999.92,23.19,45.40,0.00,0.00,
200.6,0.44,70.40,23.20,23.41,1000.06,23.19,44.60,0.00,0.00,
200.6,-2.05,70.40,23.20,23.41,999.94,23.19,44.10,0.00,0.00,
200.6,-0.39,70.40,23.20,23.41,1000.01,23.19,44.10,0.00,0.00,
200.6,0.44,70.40,23.20,23.41,1000.08,23.19,45.30,0.00,0.00,
200.6,5.42,70.40,23.20,23.41,1000.04,23.19,44.90,0.00,0.00,
200.6,-2.05,70.40,23.20,23.41,1000.01,23.19,45.50,0.00,0.00,
192.0,-3.71,70.40,23.20,23.41,1000.05,23.19,45.40,0.00,0.00,
200.6,9.57,70.40,23.20,23.41,1000.09,23.19,45.20,0.00,0.00,
200.6,1.27,70.40,23.20,23.41,999.90,23.19,45.00,0.00,0.00,
200.6,1.27,70.40,23.20,23.41,999.98,23.19,44.00,0.00,0.00,
200.6,7.08,70.40,23.20,23.41,1000.03,23.19,45.40,0.00,0.00,
192.0,6.25,70.40,23.20,23.41,999.92,23.19,44.50,0.00,0.00,
192.0,9.57,70.40,23.20,23.41,999.92,23.19,45.50,0.00,0.00,
192.0,5.42,70.40,23.20,23.41,999.91,23.19,44.80,0.00,0.00,
200.6,1.27,70.40,23.20,23.41,1000.01,23.19,45.40,0.00,0.00,
200.6,7.08,70.40,23.20,23.41,1000.01,23.19,44.10,0.00,0.00,
200.6,-2.88,70.40,23.20,23.41,1000.06,23.19,44.80,0.00,0.00,
200.6,-6.20,70.40,23.20,23.41,1000.09,23.19,45.40,0.00,0.00,
200.6,3.76,70.40,23.20,23.41,1000.02,23.19,44.70,0.00,0.00,
200.6,7.08,70.40,23.20,23.41,1000.09,23.19,44.70,0.00,0.00,
192.0,-2.88,70.40,23.20,23.41,999.99,23.19,44.90,0.00,0.00,
192.0,3.76,70.40,23.20,23.41,999.96,23.19,44.20,0.00,0.00,
200.6,3.76,70.40,23.20,23.41,1000.03,23.19,44.60,0.00,0.00,
200.6,-5.37,70.40,23.20,23.41,1000.04,23.19,44.40,0.00,0.00,
200.6,-1.22,70.40,23.20,23.41,999.96,23.19,45.00,0.00,0.00,
200.6,4.59,70.40,23.20,23.41,1000.04,23.19,44.20,0.00,0.00,
200.6,-0.39,70.40,23.20,23.41,999.94,23.19,44.60,0.00,0.00,
200.6,-2.88,70.40,23.20,23.41,1000.09,23.19,44.30,0.00,0.00,
200.6,10.40,70.60,23.20,23.42,999.95,23.19,44.80,0.00,0.00,
264.6,12.06,70.60,23.20,23.42,1000.09,23.19,44.10,0.00,0.00,
264.6,2.10,70.60,23.20,23.42,1000.06,23.19,45.50,0.00,0.00,
264.6,6.25,70.60,23.20,23.42,999.90,23.19,44.00,0.00,0.00,
