CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
200.6,-85.89,63.50,24.80,24.99,999.97,24.79,44.90,0.00,0.00,
183.9,3.76,63.50,24.80,24.99,1000.08,24.79,44.80,0.00,0.00,
192.0,7.08,63.50,24.80,24.99,999.94,24.79,44.30,0.00,0.00,
183.9,1.27,63.50,24.80,24.99,999.99,24.79,44.50,0.00,0.00,
192.0,2.10,63.50,24.80,24.99,1000.02,24.79,44.30,0.00,0.00,
183.9,-3.71,63.50,24.80,24.99,999.93,24.79,44.10,0.00,0.00,
183.9,2.93,63.50,24.80,24.99,999.90,24.79,45.50,0.00,0.00,
183.9,2.10,63.50,24.80,24.99,999.99,24.79,44.50,0.00,0.00,
183.9,13.72,63.50,24.80,24.99,999.90,24.79,45.10,0.00,0.00,
183.9,-0.39,63.50,24.80,24.99,1000.08,24.79,44.70,0.00,0.00,
192.0,5.42,63.50,24.80,24.99,1000.07,24.79,44.80,0.00,0.00,
192.0,-4.54,63.50,24.80,24.99,999.97,24.79,44.10,0.00,0.00,
192.0,14.55,63.50,24.80,24.99,1000.09,24.79,44.30,0.00,0.00,
192.0,6.25,63.50,24.80,24.99,999.91,24.79,44.00,0.00,0.00,
183.9,5.42,63.50,24.80,24.99,1000.03,24.79,45.30,0.00,0.00,
183.9,7.91,63.50,24.80,24.99,999.95,24.79,45.10,0.00,0.00,
183.9,9.57,63.50,24.80,24.99,1000.04,24.79,44.90,0.00,0.00,
183.9,5.42,63.50,24.80,24.99,1000.03,24.79,44.80,0.00,0.00,
192.0,-2.88,63.50,24.80,24.99,999.98,24.79,45.20,0.00,0.00,
192.0,12.06,63.50,24.80,24.99,1000.06,24.79,44.70,0.00,0.00,
192.0,-3.71,63.50,24.80,24.99,999.92,24.79,44.50,0.00,0.00,
183.9,-2.88,63.50,24.80,24.99,999.94,24.79,44.50,0.00,0.00,
183.9,-6.20,63.50,24.80,24.99,1000.07,24.79,44.40,0.00,0.00,
