CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
425.8,-88.38,73.00,21.70,21.83,999.97,21.69,44.90,0.00,0.00,
402.2,8.74,73.00,21.70,21.83,1000.08,21.69,44.80,0.00,0.00,
402.2,-3.71,73.00,21.70,21.83,999.94,21.69,44.30,0.00,0.00,
402.2,-8.69,73.00,21.70,21.83,999.99,21.69,44.50,0.00,0.00,
402.2,10.40,73.00,21.70,21.83,1000.02,21.69,44.30,0.00,0.00,
402.2,14.55,73.00,21.70,21.83,999.93,21.69,44.10,0.00,0.00,
402.2,-5.37,73.00,21.70,21.83,999.90,21.69,45.50,0.00,0.00,
402.2,7.91,73.00,21.70,21.83,999.99,21.69,44.50,0.00,0.00,
402.2,-2.88,73.00,21.70,21.83,999.90,21.69,45.10,0.00,0.00,
402.2,0.44,73.00,21.70,21.83,1000.08,21.69,44.70,0.00,0.00,
402.2,13.72,73.00,21.70,21.83,1000.07,21.69,44.80,0.00,0.00,
402.2,8.74,73.00,21.70,21.83,999.97,21.69,44.10,0.00,0.00,
402.2,4.59,73.00,21.70,21.83,1000.09,21.69,44.30,0.00,0.00,
380.3,2.10,73.00,21.70,21.83,999.91,21.69,44.00,0.00,0.00,
380.3,7.91,73.00,21.70,21.83,1000.03,21.69,45.30,0.00,0.00,
380.3,3.76,73.00,21.70,21.83,999.95,21.69,45.10,0.00,0.00,
380.3,0.44,73.00,21.70,21.83,1000.04,21.69,44.90,0.00,0.00,
380.3,2.10,73.00,21.70,21.83,1000.03,21.69,44.80,0.00,0.00,
380.3,9.57,73.00,21.70,21.83,999.98,21.69,45.20,0.00,0.00,
380.3,8.74,73.00,21.70,21.83,1000.06,21.69,44.70,0.00,0.00,
380.3,-0.39,73.00,21.70,21.83,999.92,21.69,44.50,0.00,0.00,
380.3,12.06,73.00,21.70,21.83,999.94,21.69,44.50,0.00,0.00,
380.3,0.44,73.00,21.70,21.83,1000.07,21.69,44.40,0.00,0.00,
380.3,7.91,73.00,21.70,21.83,1000.03,21.69,44.50,0.00,0.00,
380.3,-1.22,73.00,21.70,21.83,1000.05,21.69,44.90,0.00,0.00,
380.3,4.59,73.00,21.70,21.83,1000.04,21.69,44.80,0.00,0.00,
380.3,4.59,73.00,21.70,21.83,999.95,21.69,44.30,0.00,0.00,
380.3,7.91,73.00,21.70,21.83,1000.04,21.69,44.50,0.00,0.00,
380.3,-0.39,73.00,21.70,21.83,1000.07,21.69,44.90,0.00,0.00,
380.3,7.91,73.00,21.70,21.83,999.94,21.69,45.00,0.00,0.00,
380.3,1.27,72.70,21.80,21.93,999.98,21.79,44.10,0.00,0.00,
380.3,17.04,72.70,21.80,21.93,999.92,21.79,45.40,0.00,0.00,
380.3,9.57,72.70,21.80,21.93,1000.06,21.79,44.60,0.00,0.00,
380.3,2.10,72.70,21.80,21.93,999.94,21.79,44.10,0.00,0.00,
380.3,8.74,72.70,21.80,21.93,1000.01,21.79,44.10,0.00,0.00,
380.3,4.59,72.70,21.80,21.93,1000.08,21.79,45.30,0.00,0.00,
380.3,10.40,72.70,21.80,21.93,1000.04,21.79,44.90,0.00,0.00,
380.3,5.42,72.70,21.80,21.93,1000.01,21.79,45.50,0.00,0.00,
380.3,-1.22,72.70,21.80,21.93,1000.05,21.79,45.40,0.00,0.00,
380.3,5.42,72.70,21.80,21.93,1000.09,21.79,45.20,0.00,0.00,
380.3,2.10,72.70,21.80,21.93,999.90,21.79,45.00,0.00,0.00,
380.3,5.42,72.70,21.80,21.93,999.98,21.79,44.00,0.00,0.00,
380.3,0.44,72.70,21.80,21.93,1000.03,21.79,45.40,0.00,0.00,
360.0,2.93,72.70,21.80,21.93,999.92,21.79,44.50,0.00,0.00,
380.3,15.38,72.70,21.80,21.93,999.92,21.79,45.50,0.00,0.00,
380.3,-86.72,72.70,21.80,21.93,999.91,21.79,44.80,0.00,0.00,
360.0,-4.54,72.70,21.80,21.93,1000.01,21.79,45.40,0.00,0.00,
360.0,-2.88,72.70,21.80,21.93,1000.01,21.79,44.10,0.00,0.00,
360.0,8.74,72.70,21.80,21.93,1000.06,21.79,44.80,0.00,0.00,
360.0,-6.20,72.70,21.80,21.93,1000.09,21.79,45.40,0.00,0.00,
360.0,4.59,72.70,21.80,21.93,1000.02,21.79,44.70,0.00,0.00,
360.0,16.21,72.70,21.80,21.93,1000.09,21.79,44.70,0.00,0.00,
360.0,2.93,72.70,21.80,21.93,999.99,21.79,44.90,0.00,0.00,
360.0,-7.86,72.70,21.80,21.93,999.96,21.79,44.20,0.00,0.00,
360.0,20.36,72.70,21.80,21.93,1000.03,21.79,44.60,0.00,0.00,
360.0,-2.05,72.70,21.80,21.93,1000.04,21.79,44.40,0.00,0.00,
360.0,11.23,72.70,21.80,21.93,999.96,21.79,45.00,0.00,0.00,
360.0,-4.54,72.70,21.80,21.93,1000.04,21.79,44.20,0.00,0.00,
360.0,-6.20,72.70,21.80,21.93,999.94,21.79,44.60,0.00,0.00,
360.0,7.91,72.70,21.80,21.93,1000.09,21.79,44.30,0.00,0.00,
360.0,7.91,72.90,21.80,21.94,999.95,21.79,44.80,0.00,0.00,
360.0,4.59,72.90,21.80,21.94,1000.09,21.79,44.10,0.00,0.00,
360.0,-4.54,72.90,21.80,21.94,1000.06,21.79,45.50,0.00,0.00,
341.2,6.25,72.90,21.80,21.94,999.90,21.79,44.00,0.00,0.00,
341.2,3.76,72.90,21.80,21.94,1000.05,21.79,44.90,0.00,0.00,
341.2,-7.86,72.90,21.80,21.94,1000.04,21.79,45.10,0.00,0.00,
341.2,4.59,72.90,21.80,21.94,1000.09,21.79,45.20,0.00,0.00,
341.2,7.08,72.90,21.80,21.94,1000.05,21.79,45.20,0.00,0.00,
341.2,5.42,72.90,21.80,21.94,1000.02,21.79,45.50,0.00,0.00,
341.2,4.59,72.90,21.80,21.94,1000.03,21.79,44.50,0.00,0.00,
341.2,10.40,72.90,21.80,21.94,1000.03,21.79,44.10,0.00,0.00,
341.2,11.23,72.90,21.80,21.94,1000.00,21.79,44.30,0.00,0.00,
341.2,7.08,72.90,21.80,21.94,999.98,21.79,44.90,0.00,0.00,
341.2,2.10,72.90,21.80,21.94,999.95,21.79,45.20,0.00,0.00,
341.2,8.74,72.90,21.80,21.94,1000.05,21.79,45.50,0.00,0.00,
341.2,-0.39,72.90,21.80,21.94,1000.09,21.79,44.30,0.00,0.00,
341.2,19.53,72.90,21.80,21.94,1000.06,21.79,44.80,0.00,0.00,
323.7,-2.88,72.90,21.80,21.94,999.90,21.79,44.80,0.00,0.00,
341.2,2.10,72.90,21.80,21.94,1000.05,21.79,45.50,0.00,0.00,
341.2,13.72,72.90,21.80,21.94,1000.05,21.79,44.10,0.00,0.00,
341.2,-2.05,72.90,21.80,21.94,999.90,21.79,44.70,0.00,0.00,
341.2,2.10,72.90,21.80,21.94,999.96,21.79,45.40,0.00,0.00,
323.7,2.93,72.90,21.80,21.94,1000.06,21.79,44.10,0.00,0.00,
323.7,7.08,72.90,21.80,21.94,1000.01,21.79,44.60,0.00,0.00,
323.7,7.08,72.90,21.80,21.94,999.98,21.79,45.10,0.00,0.00,
323.7,-3.71,72.90,21.80,21.94,999.99,21.79,44.30,0.00,0.00,
341.2,-4.54,72.90,21.80,21.94,1000.01,21.79,45.10,0.00,0.00,
323.7,2.10,72.90,21.80,21.94,1000.05,21.79,44.40,0.00,0.00,
341.2,5.42,72.90,21.80,21.94,999.99,21.79,44.60,0.00,0.00,
323.7,9.57,72.90,21.80,21.94,999.90,21.79,44.90,0.00,0.00,
323.7,2.10,72.70,21.80,21.93,1000.07,21.79,44.80,0.00,0.00,
323.7,12.89,72.70,21.80,21.93,1000.06,21.79,44.50,0.00,0.00,
323.7,1.27,72.70,21.80,21.93,999.98,21.79,45.40,0.00,0.00,
323.7,-4.54,72.70,21.80,21.93,1000.00,21.79,44.40,0.00,0.00,
323.7,7.91,72.70,21.80,21.93,1000.04,21.79,44.80,0.00,0.00,
323.7,7.91,72.70,21.80,21.93,999.91,21.79,44.90,0.00,0.00,
323.7,0.44,72.70,21.80,21.93,1000.08,21.79,44.10,0.00,0.00,
323.7,14.55,72.70,21.80,21.93,999.99,21.79,45.10,0.00,0.00,
323.7,3.76,72.70,21.80,21.93,999.97,21.79,44.50,0.00,0.00,
323.7,9.57,72.70,21.80,21.93,999.92,21.79,44.80,0.00,0.00,
323.7,10.40,72.70,21.80,21.93,1000.03,21.79,44.60,0.00,0.00,
