CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
169.1,-88.38,67.00,23.60,23.76,999.97,23.59,44.90,0.00,0.00,
162.3,4.59,67.00,23.60,23.76,1000.08,23.59,44.80,0.00,0.00,
162.3,1.27,67.00,23.60,23.76,999.94,23.59,44.30,0.00,0.00,
162.3,2.93,67.00,23.60,23.76,999.99,23.59,44.50,0.00,0.00,
162.3,6.25,67.00,23.60,23.76,1000.02,23.59,44.30,0.00,0.00,
162.3,1.27,67.00,23.60,23.76,999.93,23.59,44.10,0.00,0.00,
162.3,-4.54,67.00,23.60,23.76,999.90,23.59,45.50,0.00,0.00,
162.3,-4.54,67.00,23.60,23.76,999.99,23.59,44.50,0.00,0.00,
162.3,7.91,67.00,23.60,23.76,999.90,23.59,45.10,0.00,0.00,
162.3,0.44,67.00,23.60,23.76,1000.08,23.59,44.70,0.00,0.00,
162.3,-2.05,67.00,23.60,23.76,1000.07,23.59,44.80,0.00,0.00,
162.3,2.93,67.00,23.60,23.76,999.97,23.59,44.10,0.00,0.00,
162.3,8.74,67.00,23.60,23.76,1000.09,23.59,44.30,0.00,0.00,
162.3,3.76,67.00,23.60,23.76,999.91,23.59,44.00,0.00,0.00,
162.3,-3.71,67.00,23.60,23.76,1000.03,23.59,45.30,0.00,0.00,
162.3,-7.03,67.00,23.60,23.76,999.95,23.59,45.10,0.00,0.00,
162.3,8.74,67.00,23.60,23.76,1000.04,23.59,44.90,0.00,0.00,
162.3,-0.39,67.00,23.60,23.76,1000.03,23.59,44.80,0.00,0.00,
162.3,-6.20,67.00,23.60,23.76,999.98,23.59,45.20,0.00,0.00,
162.3,-7.86,67.00,23.60,23.76,1000.06,23.59,44.70,0.00,0.00,
162.3,4.59,67.00,23.60,23.76,999.92,23.59,44.50,0.00,0.00,
162.3,5.42,67.00,23.60,23.76,999.94,23.59,44.50,0.00,0.00,
162.3,12.89,67.00,23.60,23.76,1000.07,23.59,44.40,0.00,0.00,
162.3,-4.54,67.00,23.60,23.76,1000.03,23.59,44.50,0.00,0.00,
169.1,-6.20,67.00,23.60,23.76,1000.05,23.59,44.90,0.00,0.00,
169.1,-7.03,67.00,23.60,23.76,1000.04,23.59,44.80,0.00,0.00,
169.1,5.42,67.00,23.60,23.76,999.95,23.59,44.30,0.00,0.00,
162.3,-7.03,67.00,23.60,23.76,1000.04,23.59,44.50,0.00,0.00,
162.3,7.91,67.00,23.60,23.76,1000.07,23.59,44.90,0.00,0.00,
162.3,2.93,67.00,23.60,23.76,999.94,23.59,45.00,0.00,0.00,
169.1,-3.71,68.00,23.60,23.79,999.98,23.59,44.10,0.00,0.00,
162.3,11.23,68.00,23.60,23.79,999.92,23.59,45.40,0.00,0.00,
162.3,9.57,68.00,23.60,23.79,1000.06,23.59,44.60,0.00,0.00,
