CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
192.0,-87.55,68.40,23.40,23.58,999.97,23.39,44.90,0.00,0.00,
183.9,-5.37,68.40,23.40,23.58,1000.08,23.39,44.80,0.00,0.00,
183.9,2.10,68.40,23.40,23.58,999.94,23.39,44.30,0.00,0.00,
183.9,1.27,68.40,23.40,23.58,999.99,23.39,44.50,0.00,0.00,
183.9,2.10,68.40,23.40,23.58,1000.02,23.39,44.30,0.00,0.00,
183.9,-3.71,68.40,23.40,23.58,999.93,23.39,44.10,0.00,0.00,
176.3,5.42,68.40,23.40,23.58,999.90,23.39,45.50,0.00,0.00,
183.9,-6.20,68.40,23.40,23.58,999.99,23.39,44.50,0.00,0.00,
183.9,-12.01,68.40,23.40,23.58,999.90,23.39,45.10,0.00,0.00,
183.9,7.08,68.40,23.40,23.58,1000.08,23.39,44.70,0.00,0.00,
183.9,-2.88,68.40,23.40,23.58,1000.07,23.39,44.80,0.00,0.00,
183.9,-6.20,68.40,23.40,23.58,999.97,23.39,44.10,0.00,0.00,
183.9,-6.20,68.40,23.40,23.58,1000.09,23.39,44.30,0.00,0.00,
183.9,-7.86,68.40,23.40,23.58,999.91,23.39,44.00,0.00,0.00,
183.9,2.93,68.40,23.40,23.58,1000.03,23.39,45.30,0.00,0.00,
183.9,-1.22,68.40,23.40,23.58,999.95,23.39,45.10,0.00,0.00,
183.9,-1.22,68.40,23.40,23.58,1000.04,23.39,44.90,0.00,0.00,
183.9,-0.39,68.40,23.40,23.58,1000.03,23.39,44.80,0.00,0.00,
183.9,-1.22,68.40,23.40,23.58,999.98,23.39,45.20,0.00,0.00,
183.9,1.27,68.40,23.40,23.58,1000.06,23.39,44.70,0.00,0.00,
183.9,2.10,68.40,23.40,23.58,999.92,23.39,44.50,0.00,0.00,
183.9,2.10,68.40,23.40,23.58,999.94,23.39,44.50,0.00,0.00,
183.9,-13.67,68.40,23.40,23.58,1000.07,23.39,44.40,0.00,0.00,
183.9,2.10,68.40,23.40,23.58,1000.03,23.39,44.50,0.00,0.00,
183.9,3.76,68.40,23.40,23.58,1000.05,23.39,44.90,0.00,0.00,
183.9,-1.22,68.40,23.40,23.58,1000.04,23.39,44.80,0.00,0.00,
183.9,6.25,68.40,23.40,23.58,999.95,23.39,44.30,0.00,0.00,
183.9,-1.22,68.40,23.40,23.58,1000.04,23.39,44.50,0.00,0.00,
183.9,-6.20,68.40,23.40,23.58,1000.07,23.39,44.90,0.00,0.00,
183.9,4.59,68.40,23.40,23.58,999.94,23.39,45.00,0.00,0.00,
183.9,8.74,68.20,23.40,23.58,999.98,23.39,44.10,0.00,0.00,
183.9,3.76,68.20,23.40,23.58,999.92,23.39,45.40,0.00,0.00,
192.0,-4.54,68.20,23.40,23.58,1000.06,23.39,44.60,0.00,0.00,
183.9,10.40,68.20,23.40,23.58,999.94,23.39,44.10,0.00,0.00,
183.9,-3.71,68.20,23.40,23.58,1000.01,23.39,44.10,0.00,0.00,
183.9,1.27,68.20,23.40,23.58,1000.08,23.39,45.30,0.00,0.00,
183.9,6.25,68.20,23.40,23.58,1000.04,23.39,44.90,0.00,0.00,
183.9,7.91,68.20,23.40,23.58,1000.01,23.39,45.50,0.00,0.00,
183.9,1.27,68.20,23.40,23.58,1000.05,23.39,45.40,0.00,0.00,
192.0,-2.88,68.20,23.40,23.58,1000.09,23.39,45.20,0.00,0.00,
192.0,-7.03,68.20,23.40,23.58,999.90,23.39,45.00,0.00,0.00,
183.9,3.76,68.20,23.40,23.58,999.98,23.39,44.00,0.00,0.00,
183.9,7.08,68.20,23.40,23.58,1000.03,23.39,45.40,0.00,0.00,
183.9,-1.22,68.20,23.40,23.58,999.92,23.39,44.50,0.00,0.00,
183.9,-8.69,68.20,23.40,23.58,999.92,23.39,45.50,0.00,0.00,
183.9,-2.05,68.20,23.40,23.58,999.91,23.39,44.80,0.00,0.00,
183.9,-0.39,68.20,23.40,23.58,1000.01,23.39,45.40,0.00,0.00,
192.0,-0.39,68.20,23.40,23.58,1000.01,23.39,44.10,0.00,0.00,
183.9,-0.39,68.20,23.40,23.58,1000.06,23.39,44.80,0.00,0.00,
183.9,13.72,68.20,23.40,23.58,1000.09,23.39,45.40,0.00,0.00,
183.9,13.72,68.20,23.40,23.58,1000.02,23.39,44.70,0.00,0.00,
183.9,-7.86,68.20,23.40,23.58,1000.09,23.39,44.70,0.00,0.00,
183.9,-4.54,68.20,23.40,23.58,999.99,23.39,44.90,0.00,0.00,
183.9,12.06,68.20,23.40,23.58,999.96,23.39,44.20,0.00,0.00,
183.9,10.40,68.20,23.40,23.58,1000.03,23.39,44.60,0.00,0.00,
183.9,-2.88,68.20,23.40,23.58,1000.04,23.39,44.40,0.00,0.00,
192.0,-5.37,68.20,23.40,23.58,999.96,23.39,45.00,0.00,0.00,
192.0,-4.54,68.20,23.40,23.58,1000.04,23.39,44.20,0.00,0.00,
192.0,4.59,68.20,23.40,23.58,999.94,23.39,44.60,0.00,0.00,
192.0,3.76,68.20,23.40,23.58,1000.09,23.39,44.30,0.00,0.00,
183.9,1.27,68.40,23.50,23.69,999.95,23.49,44.80,0.00,0.00,
192.0,1.27,68.40,23.50,23.69,1000.09,23.49,44.10,0.00,0.00,
192.0,0.44,68.40,23.50,23.69,1000.06,23.49,45.50,0.00,0.00,
192.0,-2.05,68.40,23.50,23.69,999.90,23.49,44.00,0.00,0.00,
183.9,5.42,68.40,23.50,23.69,1000.05,23.49,44.90,0.00,0.00,
183.9,-8.69,68.40,23.50,23.69,1000.04,23.49,45.10,0.00,0.00,
