CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
209.6,-88.38,70.40,23.00,23.19,999.97,22.99,44.90,0.00,0.00,
192.0,7.08,70.40,23.00,23.19,1000.08,22.99,44.80,0.00,0.00,
192.0,-1.22,70.40,23.00,23.19,999.94,22.99,44.30,0.00,0.00,
192.0,7.91,70.40,23.00,23.19,999.99,22.99,44.50,0.00,0.00,
192.0,8.74,70.40,23.00,23.19,1000.02,22.99,44.30,0.00,0.00,
192.0,3.76,70.40,23.00,23.19,999.93,22.99,44.10,0.00,0.00,
192.0,3.76,70.40,23.00,23.19,999.90,22.99,45.50,0.00,0.00,
192.0,9.57,70.40,23.00,23.19,999.99,22.99,44.50,0.00,0.00,
192.0,11.23,70.40,23.00,23.19,999.90,22.99,45.10,0.00,0.00,
192.0,12.06,70.40,23.00,23.19,1000.08,22.99,44.70,0.00,0.00,
200.6,-2.05,70.40,23.00,23.19,1000.07,22.99,44.80,0.00,0.00,
200.6,-5.37,70.40,23.00,23.19,999.97,22.99,44.10,0.00,0.00,
200.6,-2.88,70.40,23.00,23.19,1000.09,22.99,44.30,0.00,0.00,
192.0,2.93,70.40,23.00,23.19,999.91,22.99,44.00,0.00,0.00,
192.0,4.59,70.40,23.00,23.19,1000.03,22.99,45.30,0.00,0.00,
192.0,6.25,70.40,23.00,23.19,999.95,22.99,45.10,0.00,0.00,
192.0,2.10,70.40,23.00,23.19,1000.04,22.99,44.90,0.00,0.00,
192.0,-2.88,70.40,23.00,23.19,1000.03,22.99,44.80,0.00,0.00,
200.6,7.08,70.40,23.00,23.19,999.98,22.99,45.20,0.00,0.00,
200.6,4.59,70.40,23.00,23.19,1000.06,22.99,44.70,0.00,0.00,
192.0,20.36,70.40,23.00,23.19,999.92,22.99,44.50,0.00,0.00,
192.0,3.76,70.40,23.00,23.19,999.94,22.99,44.50,0.00,0.00,
192.0,3.76,70.40,23.00,23.19,1000.07,22.99,44.40,0.00,0.00,
192.0,7.91,70.40,23.00,23.19,1000.03,22.99,44.50,0.00,0.00,
192.0,9.57,70.40,23.00,23.19,1000.05,22.99,44.90,0.00,0.00,
192.0,-2.88,70.40,23.00,23.19,1000.04,22.99,44.80,0.00,0.00,
192.0,5.42,70.40,23.00,23.19,999.95,22.99,44.30,0.00,0.00,
192.0,-2.05,70.40,23.00,23.19,1000.04,22.99,44.50,0.00,0.00,
200.6,-4.54,70.40,23.00,23.19,1000.07,22.99,44.90,0.00,0.00,
192.0,12.06,70.40,23.00,23.19,999.94,22.99,45.00,0.00,0.00,
200.6,10.40,70.40,23.00,23.19,999.98,22.99,44.10,0.00,0.00,
192.0,7.08,70.40,23.00,23.19,999.92,22.99,45.40,0.00,0.00,
192.0,2.10,70.40,23.00,23.19,1000.06,22.99,44.60,0.00,0.00,
200.6,13.72,70.40,23.00,23.19,999.94,22.99,44.10,0.00,0.00,
192.0,13.72,70.40,23.00,23.19,1000.01,22.99,44.10,0.00,0.00,
192.0,-0.39,70.40,23.00,23.19,1000.08,22.99,45.30,0.00,0.00,
192.0,-4.54,70.40,23.00,23.19,1000.04,22.99,44.90,0.00,0.00,
192.0,-0.39,70.40,23.00,23.19,1000.01,22.99,45.50,0.00,0.00,
192.0,3.76,70.40,23.00,23.19,1000.05,22.99,45.40,0.00,0.00,
192.0,12.06,70.40,23.00,23.19,1000.09,22.99,45.20,0.00,0.00,
192.0,7.91,70.40,23.00,23.19,999.90,22.99,45.00,0.00,0.00,
192.0,4.59,70.40,23.00,23.19,999.98,22.99,44.00,0.00,0.00,
200.6,-6.20,70.40,23.00,23.19,1000.03,22.99,45.40,0.00,0.00,
192.0,9.57,70.40,23.00,23.19,999.92,22.99,44.50,0.00,0.00,
192.0,2.93,70.40,23.00,23.19,999.92,22.99,45.50,0.00,0.00,
192.0,-0.39,70.40,23.00,23.19,999.91,22.99,44.80,0.00,0.00,
192.0,7.91,70.40,23.00,23.19,1000.01,22.99,45.40,0.00,0.00,
192.0,-1.22,70.40,23.00,23.19,1000.01,22.99,44.10,0.00,0.00,
192.0,7.08,70.40,23.00,23.19,1000.06,22.99,44.80,0.00,0.00,
192.0,-7.03,70.40,23.00,23.19,1000.09,22.99,45.40,0.00,0.00,
200.6,-3.71,70.40,23.00,23.19,1000.02,22.99,44.70,0.00,0.00,
192.0,0.44,70.40,23.00,23.19,1000.09,22.99,44.70,0.00,0.00,
192.0,7.08,70.40,23.00,23.19,999.99,22.99,44.90,0.00,0.00,
192.0,6.25,70.40,23.00,23.19,999.96,22.99,44.20,0.00,0.00,
192.0,-2.88,70.40,23.00,23.19,1000.03,22.99,44.60,0.00,0.00,
192.0,-2.05,70.40,23.00,23.19,1000.04,22.99,44.40,0.00,0.00,
192.0,-0.39,70.40,23.00,23.19,999.96,22.99,45.00,0.00,0.00,
192.0,1.27,70.40,23.00,23.19,1000.04,22.99,44.20,0.00,0.00,
192.0,-2.88,70.40,23.00,23.19,999.94,22.99,44.60,0.00,0.00,
192.0,6.25,70.40,23.00,23.19,1000.09,22.99,44.30,0.00,0.00,
200.6,-7.03,70.30,23.10,23.30,999.95,23.09,44.80,0.00,0.00,
192.0,9.57,70.30,23.10,23.30,1000.09,23.09,44.10,0.00,0.00,
200.6,12.89,70.30,23.10,23.30,1000.06,23.09,45.50,0.00,0.00,
192.0,6.25,70.30,23.10,23.30,999.90,23.09,44.00,0.00,0.00,
192.0,-7.86,70.30,23.10,23.30,1000.05,23.09,44.90,0.00,0.00,
192.0,5.42,70.30,23.10,23.30,1000.04,23.09,45.10,0.00,0.00,
192.0,8.74,70.30,23.10,23.30,1000.09,23.09,45.20,0.00,0.00,
192.0,-2.88,70.30,23.10,23.30,1000.05,23.09,45.20,0.00,0.00,
192.0,4.59,70.30,23.10,23.30,1000.02,23.09,45.50,0.00,0.00,
192.0,-0.39,70.30,23.10,23.30,1000.03,23.09,44.50,0.00,0.00,
192.0,2.10,70.30,23.10,23.30,1000.03,23.09,44.10,0.00,0.00,
192.0,-2.88,70.30,23.10,23.30,1000.00,23.09,44.30,0.00,0.00,
192.0,5.42,70.30,23.10,23.30,999.98,23.09,44.90,0.00,0.00,
192.0,2.10,70.30,23.10,23.30,999.95,23.09,45.20,0.00,0.00,
192.0,7.08,70.30,23.10,23.30,1000.05,23.09,45.50,0.00,0.00,
192.0,-2.05,70.30,23.10,23.30,1000.09,23.09,44.30,0.00,0.00,
192.0,-8.69,70.30,23.10,23.30,1000.06,23.09,44.80,0.00,0.00,
192.0,-2.05,70.30,23.10,23.30,999.90,23.09,44.80,0.00,0.00,
200.6,-4.54,70.30,23.10,23.30,1000.05,23.09,45.50,0.00,0.00,
192.0,6.25,70.30,23.10,23.30,1000.05,23.09,44.10,0.00,0.00,
192.0,14.55,70.30,23.10,23.30,999.90,23.09,44.70,0.00,0.00,
200.6,8.74,70.30,23.10,23.30,999.96,23.09,45.40,0.00,0.00,
192.0,0.44,70.30,23.10,23.30,1000.06,23.09,44.10,0.00,0.00,
192.0,0.44,70.30,23.10,23.30,1000.01,23.09,44.60,0.00,0.00,
192.0,5.42,70.30,23.10,23.30,999.98,23.09,45.10,0.00,0.00,
192.0,-6.20,70.30,23.10,23.30,999.99,23.09,44.30,0.00,0.00,
200.6,6.25,70.30,23.10,23.30,1000.01,23.09,45.10,0.00,0.00,
192.0,2.10,70.30,23.10,23.30,1000.05,23.09,44.40,0.00,0.00,
192.0,2.10,70.30,23.10,23.30,999.99,23.09,44.60,0.00,0.00,
192.0,7.91,70.30,23.10,23.30,999.90,23.09,44.90,0.00,0.00,
192.0,0.44,70.70,23.10,23.31,1000.07,23.09,44.80,0.00,0.00,
192.0,17.87,70.70,23.10,23.31,1000.06,23.09,44.50,0.00,0.00,
200.6,9.57,70.70,23.10,23.31,999.98,23.09,45.40,0.00,0.00,
192.0,-0.39,70.70,23.10,23.31,1000.00,23.09,44.40,0.00,0.00,
192.0,3.76,70.70,23.10,23.31,1000.04,23.09,44.80,0.00,0.00,
192.0,3.76,70.70,23.10,23.31,999.91,23.09,44.90,0.00,0.00,
192.0,-4.54,70.70,23.10,23.31,1000.08,23.09,44.10,0.00,0.00,
192.0,6.25,70.70,23.10,23.31,999.99,23.09,45.10,0.00,0.00,
192.0,7.08,70.70,23.10,23.31,999.97,23.09,44.50,0.00,0.00,
192.0,-8.69,70.70,23.10,23.31,999.92,23.09,44.80,0.00,0.00,
192.0,-2.88,70.70,23.10,23.31,1000.03,23.09,44.60,0.00,0.00,
192.0,6.25,70.70,23.10,23.31,999.96,23.09,45.20,0.00,0.00,
192.0,-7.86,70.70,23.10,23.31,1000.00,23.09,44.80,0.00,0.00,
200.6,7.91,70.70,23.10,23.31,1000.08,23.09,45.30,0.00,0.00,
192.0,-5.37,70.70,23.10,23.31,1000.07,23.09,45.00,0.00,0.00,
192.0,2.93,70.70,23.10,23.31,999.96,23.09,45.50,0.00,0.00,
192.0,6.25,70.70,23.10,23.31,1000.08,23.09,44.30,0.00,0.00,
192.0,0.44,70.70,23.10,23.31,1000.07,23.09,45.50,0.00,0.00,
192.0,3.76,70.70,23.10,23.31,999.90,23.09,44.90,0.00,0.00,
200.6,-2.05,70.70,23.10,23.31,1000.07,23.09,45.20,0.00,0.00,
192.0,7.08,70.70,23.10,23.31,999.99,23.09,45.30,0.00,0.00,
192.0,-2.05,70.70,23.10,23.31,999.94,23.09,44.00,0.00,0.00,
192.0,-0.39,70.70,23.10,23.31,1000.04,23.09,44.30,0.00,0.00,
192.0,-13.67,70.70,23.10,23.31,999.97,23.09,44.20,0.00,0.00,
192.0,-2.88,70.70,23.10,23.31,1000.05,23.09,44.30,0.00,0.00,
192.0,22.85,70.70,23.10,23.31,1000.08,23.09,45.40,0.00,0.00,
192.0,-6.20,70.70,23.10,23.31,1000.05,23.09,44.90,0.00,0.00,
192.0,3.76,70.70,23.10,23.31,1000.04,23.09,44.00,0.00,0.00,
192.0,-2.05,70.70,23.10,23.31,1000.04,23.09,45.30,0.00,0.00,
192.0,13.72,70.70,23.10,23.31,999.95,23.09,44.70,0.00,0.00,
192.0,2.10,70.30,23.00,23.19,999.93,22.99,44.50,0.00,0.00,
192.0,12.06,70.30,23.00,23.19,999.93,22.99,44.70,0.00,0.00,
200.6,2.93,70.30,23.00,23.19,999.97,22.99,44.30,0.00,0.00,
200.6,-2.05,70.30,23.00,23.19,999.93,22.99,45.50,0.00,0.00,
192.0,2.93,70.30,23.00,23.19,999.98,22.99,45.00,0.00,0.00,
192.0,1.27,70.30,23.00,23.19,1000.09,22.99,45.00,0.00,0.00,
192.0,-2.05,70.30,23.00,23.19,999.94,22.99,45.30,0.00,0.00,
